numero_processo,tribunal_origem,classe,orgaoJulgador,grau,ultima_atualizacao,total_movimentos,fontes,consta_local,tem_pdf,novo,data_atualizacao_sistema
0012022-56.2012.8.13.0059,TJMG,,,,,0,local,True,False,False,2026-04-23
0159720-82.2003.8.13.0188,TJMG,,,,,0,local,True,False,False,2026-04-23
1000435-22.2025.8.13.0105,TJMG,,,,,0,local,True,False,False,2026-04-23
5000038-13.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5000047-81.2020.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5000048-32.2021.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5000154-81.2025.8.13.0627,TJMG,,,,,0,local,True,False,False,2026-04-23
5000162-62.2026.8.13.0194,TJMG,,,,,0,local,True,False,False,2026-04-23
5000162-82.2022.8.13.0362,TJMG,,,,,0,local,True,False,False,2026-04-23
5000181-85.2025.8.13.0329,TJMG,,,,,0,local,True,False,False,2026-04-23
5000412-28.2026.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5000416-08.2021.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5000506-10.2025.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5000510-14.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5000628-46.2019.8.13.0309,TJMG,,,,,0,local,True,False,False,2026-04-23
5000792-52.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5001136-27.2022.8.13.0522,TJMG,,,,,0,pje_consulta_publica,False,False,True,2026-04-23
5001140-30.2017.8.13.0105,TJMG,,,,,0,local,True,False,False,2026-04-23
5001309-57.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5001356-58.2025.8.13.0089,TJMG,,,,,0,local,True,False,False,2026-04-23
5001360-54.2025.8.13.0329,TJMG,,,,,0,local,True,False,False,2026-04-23
5001543-78.2021.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5001565-97.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5001566-19.2024.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5001615-98.2025.8.13.0074,TJMG,,,,,0,local,True,False,False,2026-04-23
5001625-49.2025.8.13.0396,TJMG,,,,,0,local,True,False,False,2026-04-23
5001662-13.2024.8.13.0396,TJMG,,,,,0,local,True,False,False,2026-04-23
5001702-49.2024.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5001710-89.2025.8.13.0184,TJMG,,,,,0,local,True,False,False,2026-04-23
5001875-14.2024.8.13.0042,TJMG,,,,,0,local,True,False,False,2026-04-23
5001977-26.2019.8.13.0684,TJMG,,,,,0,pje_consulta_publica,False,False,True,2026-04-23
5001994-69.2022.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5002156-38.2025.8.13.0396,TJMG,,,,,0,local,True,False,False,2026-04-23
5002175-65.2025.8.13.0680,TJMG,,,,,0,local,True,False,False,2026-04-23
5002385-81.2022.8.13.0079,TJMG,,,,,0,pje_consulta_publica,False,False,True,2026-04-23
