ordem,cnj,comarca_cod,comarca_nome,em_pje,em_aj_ajg,baixado,acao
1,5000038-13.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
2,5000416-08.2021.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
3,5000510-14.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
4,5000792-52.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
5,5001309-57.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
6,5001543-78.2021.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
7,5001565-97.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
8,5001566-19.2024.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
9,5001994-69.2022.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
10,5002175-65.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
11,5002387-57.2023.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
12,5002406-92.2025.8.13.0680,0680,Taiobeiras,N,S,S,OK_BAIXADO
13,5002670-46.2024.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
14,5003080-41.2023.8.13.0680,0680,Taiobeiras,N,S,S,OK_BAIXADO
15,5003293-13.2024.8.13.0680,0680,Taiobeiras,S,S,N,BAIXAR
16,5003575-85.2023.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
17,5003685-50.2024.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
18,5003799-23.2023.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
19,5003880-69.2023.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
20,5004052-40.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
21,5004205-10.2024.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
22,5004301-88.2025.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
23,5004594-92.2024.8.13.0680,0680,Taiobeiras,S,S,S,OK_BAIXADO
24,1000435-22.2025.8.13.0105,0105,Governador Valadares,N,S,S,OK_BAIXADO
25,5001140-30.2017.8.13.0105,0105,Governador Valadares,S,S,S,OK_BAIXADO
26,5004172-72.2019.8.13.0105,0105,Governador Valadares,N,S,N,CADASTRAR_PUSH
27,5005267-30.2025.8.13.0105,0105,Governador Valadares,S,N,S,OK_BAIXADO
28,5007127-08.2021.8.13.0105,0105,Governador Valadares,S,S,S,OK_BAIXADO
29,5008297-73.2025.8.13.0105,0105,Governador Valadares,S,S,S,OK_BAIXADO
30,5008504-19.2018.8.13.0105,0105,Governador Valadares,S,S,S,OK_BAIXADO
