cnj,locais
0012022-56.2012.8.13.0059,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
1000435-22.2025.8.13.0105,~/Desktop/ANALISADOR FINAL/processos
5000029-93.2026.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000038-13.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000047-81.2020.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000048-32.2021.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000154-81.2025.8.13.0627,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000162-62.2026.8.13.0194,~/Desktop/ANALISADOR FINAL/processos
5000162-72.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000162-82.2022.8.13.0362,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000181-85.2025.8.13.0329,~/Desktop/ANALISADOR FINAL/processos
5000232-55.2026.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5000237-19.2022.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5000247-58.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5000412-28.2026.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000416-08.2021.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000447-65.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000506-10.2025.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000510-14.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5000628-46.2019.8.13.0309,~/Desktop/ANALISADOR FINAL/processos
5000792-52.2025.8.13.0680,~/Desktop/ANALISADOR FINAL/processos
5000914-44.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001140-30.2017.8.13.0105,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001309-57.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001356-58.2025.8.13.0089,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001360-54.2025.8.13.0329,~/Desktop/ANALISADOR FINAL/processos
5001543-78.2021.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001565-97.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001566-19.2024.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001604-73.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001615-98.2025.8.13.0074,~/Desktop/ANALISADOR FINAL/processos
5001625-49.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5001634-11.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5001662-13.2024.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5001702-49.2024.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001710-89.2025.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001797-88.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5001875-14.2024.8.13.0042,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5001994-69.2022.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002156-38.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5002175-65.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002205-16.2024.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002387-57.2023.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002392-87.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5002406-92.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002424-62.2025.8.13.0309,~/Desktop/ANALISADOR FINAL/processos
5002456-97.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002526-60.2024.8.13.0005,~/Desktop/ANALISADOR FINAL/processos
5002587-72.2025.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002637-35.2024.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5002670-46.2024.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002831-26.2023.8.13.0184,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5002966-13.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5002973-39.2024.8.13.0396,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5003064-32.2024.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003080-41.2023.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5003087-41.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003107-57.2023.8.13.0184,~/Desktop/ANALISADOR FINAL/processos
5003133-79.2021.8.13.0231,~/Desktop/ANALISADOR FINAL/processos
5003154-06.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003247-66.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003351-58.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003396-62.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003575-85.2023.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5003685-50.2024.8.13.0680,~/Desktop/ANALISADOR FINAL/processos
5003730-96.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003799-23.2023.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5003806-23.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003853-94.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003873-85.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003880-69.2023.8.13.0680,~/Desktop/ANALISADOR FINAL/processos
5003988-09.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5003994-50.2024.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004027-06.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004032-07.2025.8.13.0694,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5004041-87.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004052-40.2025.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5004143-12.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004205-10.2024.8.13.0680,~/Desktop/ANALISADOR FINAL/processos
5004251-41.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004266-44.2024.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004301-88.2025.8.13.0680,~/Desktop/ANALISADOR FINAL/processos
5004407-29.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004462-81.2024.8.13.0309,~/Desktop/ANALISADOR FINAL/processos
5004580-53.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004594-92.2024.8.13.0680,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
5004692-22.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004725-12.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004737-26.2025.8.13.0396,~/Desktop/ANALISADOR FINAL/processos
5004860-37.2024.8.13.0112,~/Desktop/processos-pje | ~/Desktop/ANALISADOR FINAL/processos
