ordem,cnj,comarca_codigo,comarca_nome,ja_tenho,locais
1,5000038-13.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
2,5000416-08.2021.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
3,5000510-14.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
4,5000792-52.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/ANALISADOR FINAL/processos
5,5001309-57.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
6,5001543-78.2021.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
7,5001565-97.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
8,5001566-19.2024.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
9,5001994-69.2022.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
10,5002175-65.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
11,5002387-57.2023.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
12,5002406-92.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
13,5002670-46.2024.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
14,5003080-41.2023.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
15,5003293-13.2024.8.13.0680,0680,Taiobeiras,N,
16,5003575-85.2023.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
17,5003685-50.2024.8.13.0680,0680,Taiobeiras,S,~/Desktop/ANALISADOR FINAL/processos
18,5003799-23.2023.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
19,5003880-69.2023.8.13.0680,0680,Taiobeiras,S,~/Desktop/ANALISADOR FINAL/processos
20,5004052-40.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
21,5004205-10.2024.8.13.0680,0680,Taiobeiras,S,~/Desktop/ANALISADOR FINAL/processos
22,5004301-88.2025.8.13.0680,0680,Taiobeiras,S,~/Desktop/ANALISADOR FINAL/processos
23,5004594-92.2024.8.13.0680,0680,Taiobeiras,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
24,1000435-22.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
25,5001140-30.2017.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
26,5004172-72.2019.8.13.0105,0105,Governador Valadares,N,
27,5007127-08.2021.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
28,5008297-73.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
29,5008504-19.2018.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
30,5008789-02.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
31,5009261-08.2021.8.13.0105,0105,Governador Valadares,N,
32,5011001-35.2020.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
33,5013218-75.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
34,5014017-55.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
35,5015391-72.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
36,5017700-42.2020.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
37,5018356-57.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
38,5018431-96.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
39,5022119-66.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
40,5022941-21.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
41,5022952-60.2019.8.13.0105,0105,Governador Valadares,N,
42,5024581-59.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
43,5027170-29.2022.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
44,5030880-86.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
45,5034347-39.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
46,5035510-54.2025.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
47,5035541-11.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
48,5039279-07.2024.8.13.0105,0105,Governador Valadares,S,~/Desktop/ANALISADOR FINAL/processos
49,5000029-93.2026.8.13.0396,0396,Mantena,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
50,5000162-72.2025.8.13.0396,0396,Mantena,S,~/Desktop/processos-pje | ~/Desktop/processos-pje-windows | ~/Desktop/ANALISADOR FINAL/processos
51,5000232-55.2026.8.13.0396,0396,Mantena,S,~/Desktop/ANALISADOR FINAL/processos
52,5000237-19.2022.8.13.0396,0396,Mantena,S,~/Desktop/ANALISADOR FINAL/processos
53,5000247-58.2025.8.13.0396,0396,Mantena,S,~/Desktop/ANALISADOR FINAL/processos
